%1.Title:Laptops
%
%2.Sources:
%	(a)Creator:KrstevFilip
%	(b)Date:June,2016
%	(c)878 instances
%
@RELATION IS


@ATTRIBUTE processor	{i34th,i33rd,i51st,i52nd,i53rd,i54th,i73rd,i74th,Pentium,Celeron,Atom,AMDSemprom,AMDESeries,Core2Duo,Core2Quad}
@ATTRIBUTE memory		numeric
@ATTRIBUTE screenSize	numeric
@ATTRIBUTE grapics		{Integrated/On-BoardGraphics,DedicatedGraphics}
@ATTRIBUTE operatinS	{Windows10,Windows8,Windows7,WindowsXP,ChromeOS}
@ATTRIBUTE ssd			{Yes,No}
@ATTRIBUTE price		numeric

@DATA
i54th,12,17.3,Integrated/On-BoardGraphics,Windows8,No,850.46
i74th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,1154.53
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,169.99
i74th,16,15.6,DedicatedGraphics,Windows10,No,1240.73
i74th,24 ,17.3,Integrated/On-BoardGraphics,Windows8,No,1892.5
i74th,8,14,Integrated/On-BoardGraphics,Windows7,No,1464.49
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1700.15
i74th,8,14,Integrated/On-BoardGraphics,Windows7,No,1199.99
i74th,16,17.3,Integrated/On-BoardGraphics,Windows8,No,1619.99
i54th,4 ,15.6,Integrated/On-BoardGraphics,Windows7,No,1084.99
i54th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,1102.2
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,242.98
i74th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,1398.51
i53rd,4 ,11.6,Integrated/On-BoardGraphics,Windows8,Yes,799
i74th,8 ,17.3,Integrated/On-BoardGraphics,Windows8,No,1601.56
i74th,8 ,15.6,DedicatedGraphics,Windows8,No,1899.53
i74th,8,17.3,Integrated/On-BoardGraphics,Windows8,No,1114.53
i74th,8 ,14,DedicatedGraphics,Windows8,Yes,744.99
i74th,8 ,14,Integrated/On-BoardGraphics,Windows7,Yes,1299.57
AMDESeries,12 ,13.3,Integrated/On-BoardGraphics,Windows8,No,994.36
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,429
i54th,4,14,Integrated/On-BoardGraphics,Windows7,No,744.53
i54th,4,15.6,Integrated/On-BoardGraphics,Windows7,No,1267.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,340.99
Pentium,8,15,Integrated/On-BoardGraphics,Windows10,No,549.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,655.73
i74th,8,15.6,DedicatedGraphics,Windows8,No,1444.53
i54th,4,14,Integrated/On-BoardGraphics,Windows7,No,1209.66
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,389.95
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows7,No,317.36
i74th,8 ,14,Integrated/On-BoardGraphics,Windows8,Yes,1299.77
i33rd,6,17.3,Integrated/On-BoardGraphics,Windows7,No,544.66
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows7,No,599.53
